154542.0,user00000001,15000.0,BankTransfer,27/02/2025 17:33:13,FAIL
536888.0,user00000001,10000.0,BankTransfer,27/02/2025 17:43:22,FAIL
365462.0,user00000001,4998.0,BankTransfer,27/02/2025 17:43:25,SUCCESS
571659.0,user00000001,2000.0,E-Wallet,27/02/2025 17:43:25,FAIL
228632.0,user00000001,1748.0,CreditCard,27/02/2025 17:43:25,SUCCESS
850448.0,user00000001,6000.0,E-Wallet,27/02/2025 17:49:43,FAIL
450801.0,user00000001,2000.0,E-Wallet,27/02/2025 17:51:04,FAIL
848066.0,user00000001,24.0,BankTransfer,27/02/2025 18:02:44,SUCCESS
855088.0,user00000001,24000.0,BankTransfer,27/02/2025 18:02:59,FAIL
512021.0,user00000001,20000.0,BankTransfer,27/02/2025 18:08:00,FAIL
743326.0,user00000001,9976.0,BankTransfer,27/02/2025 18:08:03,SUCCESS
700684.0,user00000001,2000.0,E-Wallet,27/02/2025 18:08:03,FAIL
394769.0,user00000001,18000.0,CreditCard,27/02/2025 18:08:03,FAIL
590693.0,user00000001,1000.0,E-Wallet,27/02/2025 18:10:33,SUCCESS
512746.0,user00000001,10000.0,BankTransfer,27/02/2025 18:13:41,FAIL
508029.0,user00000001,0.0,BankTransfer,27/02/2025 18:13:44,SUCCESS
176435.0,user00000001,1000.0,E-Wallet,27/02/2025 18:13:44,FAIL
640857.0,user00000001,9000.0,CreditCard,27/02/2025 18:13:44,SUCCESS
768714.0,user00000001,6000.0,BankTransfer,27/02/2025 18:18:39,FAIL
409466.0,user00000001,0.0,BankTransfer,27/02/2025 18:18:41,SUCCESS
986432.0,user00000001,1000.0,E-Wallet,27/02/2025 18:18:41,FAIL
189339.0,user00000001,4000.0,CreditCard,27/02/2025 18:18:41,SUCCESS
974290.0,user00000001,1000.0,BankTransfer,27/02/2025 18:21:26,FAIL
982951.0,user00000001,1000.0,BankTransfer,27/02/2025 18:21:28,FAIL
